id;specimentype;species;scientificName;verbatimScientificName;sp_kingdom;sp_phylum;sp_class;sp_order;sp_family;sp_genus;genericName;specificEpithet;infraspecificEpithet;iucnRedListCategory
0;;;Pontoscolex;Pontoscolex Corethrurus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Pontoscolex;Pontoscolex;;;
1;;Liodrilus mendesi;Liodrilus mendesi Righi, 1994;Liodrilus mendesi;Animalia;Annelida;Clitellata;;;Liodrilus;Liodrilus;mendesi;;NE
2;;Liodrilus mendesi;Liodrilus mendesi Righi, 1994;Liodrilus mendesi;Animalia;Annelida;Clitellata;;;Liodrilus;Liodrilus;mendesi;;NE
3;;;Pontoscolex;Pontoscolex Corethrurus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Pontoscolex;Pontoscolex;;;
4;;;Pontoscolex;Pontoscolex Corethrurus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Pontoscolex;Pontoscolex;;;
5;;;Heteromastus Eisig, 1887;Heteromastus;Animalia;Annelida;Polychaeta;;Capitellidae;Heteromastus;Heteromastus;;;
6;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
7;;Laeonereis culveri;Laeonereis culveri (Webster, 1879);Laeonereis culveri;Animalia;Annelida;Polychaeta;Phyllodocida;Nereididae;Laeonereis;Laeonereis;culveri;;NE
8;;;Pontoscolex;Pontoscolex Corethrurus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Pontoscolex;Pontoscolex;;;
9;;;Pontoscolex;Pontoscolex Corethrurus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Pontoscolex;Pontoscolex;;;
10;;;incertae sedis;;incertae sedis;;;;;;;;;
11;;;Pontoscolex;Pontoscolex Corethrurus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Pontoscolex;Pontoscolex;;;
12;;;Pontoscolex;Pontoscolex Corethrurus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Pontoscolex;Pontoscolex;;;
13;;Liodrilus mendesi;Liodrilus mendesi Righi, 1994;Liodrilus mendesi;Animalia;Annelida;Clitellata;;;Liodrilus;Liodrilus;mendesi;;NE
14;;;Pontoscolex;Pontoscolex Corethrurus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Pontoscolex;Pontoscolex;;;
15;;;Neanthes Kinberg, 1865;Neanthes;Animalia;Annelida;Polychaeta;Phyllodocida;Nereididae;Neanthes;Neanthes;;;
16;PARATYPE;Rhinodrilus antonioi;Rhinodrilus antonioi Hernández-García & Sousa, 2020;Rhinodrilus antonionii;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Rhinodrilus;Rhinodrilus;antonioi;;NE
17;;Liodrilus mendesi;Liodrilus mendesi Righi, 1994;Liodrilus mendesi;Animalia;Annelida;Clitellata;;;Liodrilus;Liodrilus;mendesi;;NE
18;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
19;;;Pontoscolex;Pontoscolex Corethrurus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Pontoscolex;Pontoscolex;;;
20;;Hyperiodrilus africanus;Hyperiodrilus africanus Beddard, 1891;Hyperiodrilus africanus;Animalia;Annelida;Clitellata;Crassiclitellata;Eudrilidae;Hyperiodrilus;Hyperiodrilus;africanus;;NE
21;;Sigambra grubii;Sigambra grubii Müller, 1858;Sigambra grubii;Animalia;Annelida;Polychaeta;Phyllodocida;Pilargidae;Sigambra;Sigambra;grubii;;NE
22;;;Pontoscolex;Pontoscolex Corethrurus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Pontoscolex;Pontoscolex;;;
23;;;Capitella Blainville, 1828;Capitella;Animalia;Annelida;Polychaeta;;Capitellidae;Capitella;Capitella;;;
24;;;Laeonereis Hartman, 1945;Laeonereis;Animalia;Annelida;Polychaeta;Phyllodocida;Nereididae;Laeonereis;Laeonereis;;;
25;;;Pontoscolex;Pontoscolex Corethrurus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Pontoscolex;Pontoscolex;;;
26;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
27;;;Pontoscolex;Pontoscolex Corethrurus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Pontoscolex;Pontoscolex;;;
