id;taxonKey;acceptedTaxonKey;kingdomKey;phylumKey;classKey;orderKey;familyKey;genusKey;speciesKey
0;2308740;2308740;1;42;255;472;3567;2308740;
1;9512479;9512479;1;42;255;;;4813824;9512479
2;9512479;9512479;1;42;255;;;4813824;9512479
3;2308740;2308740;1;42;255;472;3567;2308740;
4;2308740;2308740;1;42;255;472;3567;2308740;
5;7236626;7236626;1;42;256;;5752;7236626;
6;2308741;2308741;1;42;255;5958860;9272891;10943108;2308741
7;2316376;2316376;1;42;256;1079;6972;2316367;2316376
8;2308740;2308740;1;42;255;472;3567;2308740;
9;2308740;2308740;1;42;255;472;3567;2308740;
10;0;;0;;;;;;
11;2308740;2308740;1;42;255;472;3567;2308740;
12;2308740;2308740;1;42;255;472;3567;2308740;
13;9512479;9512479;1;42;255;;;4813824;9512479
14;2308740;2308740;1;42;255;472;3567;2308740;
15;2316247;2316247;1;42;256;1079;6972;2316247;
16;11003839;11003839;1;42;255;5958860;9272891;10944581;11003839
17;9512479;9512479;1;42;255;;;4813824;9512479
18;2308741;2308741;1;42;255;5958860;9272891;10943108;2308741
19;2308740;2308740;1;42;255;472;3567;2308740;
20;9546247;9546247;1;42;255;5958860;4288888;4813844;9546247
21;2316674;2316674;1;42;256;1079;7077;2316659;2316674
22;2308740;2308740;1;42;255;472;3567;2308740;
23;2318007;2318007;1;42;256;;5752;2318007;
24;2316367;2316367;1;42;256;1079;6972;2316367;
25;2308740;2308740;1;42;255;472;3567;2308740;
26;2308741;2308741;1;42;255;5958860;9272891;10943108;2308741
27;2308740;2308740;1;42;255;472;3567;2308740;
28;2308740;2308740;1;42;255;472;3567;2308740;
29;2308740;2308740;1;42;255;472;3567;2308740;
30;2316674;2316674;1;42;256;1079;7077;2316659;2316674
31;2316376;2316376;1;42;256;1079;6972;2316367;2316376
32;2308740;2308740;1;42;255;472;3567;2308740;
33;0;;0;;;;;;
34;2308740;2308740;1;42;255;472;3567;2308740;
35;9512479;9512479;1;42;255;;;4813824;9512479
36;2308740;2308740;1;42;255;472;3567;2308740;
37;2308740;2308740;1;42;255;472;3567;2308740;
38;2308741;2308741;1;42;255;5958860;9272891;10943108;2308741
39;2308741;2308741;1;42;255;5958860;9272891;10943108;2308741
40;2308740;2308740;1;42;255;472;3567;2308740;
41;9512479;9512479;1;42;255;;;4813824;9512479
42;2317033;2317033;1;42;256;1079;2316797;2316914;2317033
43;2316376;2316376;1;42;256;1079;6972;2316367;2316376
44;2308740;2308740;1;42;255;472;3567;2308740;
45;2317033;2317033;1;42;256;1079;2316797;2316914;2317033
46;2308740;2308740;1;42;255;472;3567;2308740;
47;2308740;2308740;1;42;255;472;3567;2308740;
48;2308740;2308740;1;42;255;472;3567;2308740;
49;2308740;2308740;1;42;255;472;3567;2308740;
50;9546247;9546247;1;42;255;5958860;4288888;4813844;9546247
51;2308741;2308741;1;42;255;5958860;9272891;10943108;2308741
52;2308741;2308741;1;42;255;5958860;9272891;10943108;2308741
53;9308346;9308346;1;42;255;472;3567;4813886;9308346
54;2308740;2308740;1;42;255;472;3567;2308740;
55;2308740;2308740;1;42;255;472;3567;2308740;
56;2316659;2316659;1;42;256;1079;7077;2316659;
57;2318007;2318007;1;42;256;;5752;2318007;
58;2308740;2308740;1;42;255;472;3567;2308740;
59;2308741;2308741;1;42;255;5958860;9272891;10943108;2308741
60;2308740;2308740;1;42;255;472;3567;2308740;
61;2308740;2308740;1;42;255;472;3567;2308740;
62;2308741;2308741;1;42;255;5958860;9272891;10943108;2308741
63;2308740;2308740;1;42;255;472;3567;2308740;
64;2316674;2316674;1;42;256;1079;7077;2316659;2316674
65;2318072;2318072;1;42;256;;5752;2318072;
66;2316674;2316674;1;42;256;1079;7077;2316659;2316674
67;2308740;2308740;1;42;255;472;3567;2308740;
68;2316659;2316659;1;42;256;1079;7077;2316659;
69;2311081;2311081;1;42;256;1079;3579;2311081;
70;2308740;2308740;1;42;255;472;3567;2308740;
71;2317033;2317033;1;42;256;1079;2316797;2316914;2317033
72;2308741;2308741;1;42;255;5958860;9272891;10943108;2308741
73;2308741;2308741;1;42;255;5958860;9272891;10943108;2308741
74;2316674;2316674;1;42;256;1079;7077;2316659;2316674
75;9372448;9372448;1;42;255;5958860;9272891;11036641;9372448
76;4410234;4410235;1;42;255;5958860;3267579;10395961;4410235
77;9512479;9512479;1;42;255;;;4813824;9512479
78;2308741;2308741;1;42;255;5958860;9272891;10943108;2308741
79;11003839;11003839;1;42;255;5958860;9272891;10944581;11003839
80;2308740;2308740;1;42;255;472;3567;2308740;
