id;continent;countryCode;stateProvince;county;locality;decimalLatitude;decimalLongitude
0;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
1;SOUTH_AMERICA;BR;Maranhão;São Luís;Fazenda Escola;-4.587222;-44.208611
2;SOUTH_AMERICA;BR;Maranhão;Caxias;Santa Tereza Village;-4.899722;-43.470833
3;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
4;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
5;SOUTH_AMERICA;BR;Pará;Bragança;Ilha de Canela;;
6;SOUTH_AMERICA;BR;Maranhão;Rosário;Rosário;-2.853972;-44.153167
7;SOUTH_AMERICA;BR;Pará;Bragança;Península Bragantina;;
8;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
9;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
10;;BR;Pará;;Plataforma Continental do Amazonas;3.7817;-49.840417
11;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
12;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
13;SOUTH_AMERICA;BR;Maranhão;São Luís;Fazenda Escola;-4.587222;-44.208611
14;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
15;SOUTH_AMERICA;BR;Pará;Bragança;Ilha de Canela;;
16;SOUTH_AMERICA;BR;Maranhão;Caxias;Santa Tereza Village;-4.558333;-43.470833
17;SOUTH_AMERICA;BR;Maranhão;São Luís;Fazenda Escola;-4.587222;-44.208611
18;SOUTH_AMERICA;BR;Maranhão;Rosário;Rosário;-2.853972;-44.153167
19;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
20;SOUTH_AMERICA;BR;Maranhão;São Luís;Fazenda Escola;-4.587222;-44.208611
21;SOUTH_AMERICA;BR;Pará;Bragança;Península Bragantina;;
22;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
23;SOUTH_AMERICA;BR;Pará;Bragança;Ilha de Canela;;
24;SOUTH_AMERICA;BR;Pará;Bragança;Península Bragantina;;
25;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
26;SOUTH_AMERICA;BR;Maranhão;Alcântara;Rio Grande;-2.42375;-44.425444
27;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
28;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
29;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
30;SOUTH_AMERICA;BR;Pará;Bragança;Península Bragantina;;
31;SOUTH_AMERICA;BR;Pará;Maracanã;Ilha de Algodoal;;
32;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
33;;BR;Pará;;Plataforma Continental do Amazonas;3.938833;-50.653333
34;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
35;SOUTH_AMERICA;BR;Maranhão;Caxias;Santa Tereza Village;-4.558333;-43.470833
36;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
37;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
38;SOUTH_AMERICA;BR;Maranhão;São Luís;Fazenda Escola;-4.587222;-44.208611
39;SOUTH_AMERICA;BR;Maranhão;Tomé-Açu;Tomé-Açu;-2.394167;-48.164444
40;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
41;SOUTH_AMERICA;BR;Maranhão;São Luís;Fazenda Escola;-4.587222;-44.208611
42;SOUTH_AMERICA;BR;Pará;Curuçá;Curuça;;
43;SOUTH_AMERICA;BR;Pará;Maracanã;Ilha de Algodoal;;
44;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
45;SOUTH_AMERICA;BR;Pará;Curuçá;Curuça;;
46;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
47;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
48;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
49;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
50;SOUTH_AMERICA;BR;Maranhão;São Luís;Fazenda Escola;-4.587222;-44.208611
51;SOUTH_AMERICA;BR;Maranhão;Caxias;Maranhão Federal Institute;-4.820833;-43.342222
52;SOUTH_AMERICA;BR;Maranhão;Caxias;Inhamum Protection Area;-4.890833;-43.420278
53;SOUTH_AMERICA;BR;Maranhão;São Luís;Fazenda Escola;-4.587222;-44.208611
54;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
55;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
56;SOUTH_AMERICA;BR;Pará;Marapanim;Praia de Marudá;;
57;SOUTH_AMERICA;BR;Pará;Bragança;Ilha de Canela;;
58;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
59;SOUTH_AMERICA;BR;Maranhão;Caxias;Inhamum Protection Area;-4.8625;-43.363889
60;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
61;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
62;SOUTH_AMERICA;BR;Maranhão;Rosário;Rosário;-2.853972;-44.153167
63;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
64;SOUTH_AMERICA;BR;Pará;Bragança;Península Bragantina;;
65;SOUTH_AMERICA;BR;Pará;Bragança;Furo Grande;;
66;SOUTH_AMERICA;BR;Pará;Marapanim;Praia de Marudá;;
67;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
68;SOUTH_AMERICA;BR;Pará;Bragança;Ilha de Canela;;
69;;BR;Pará;;Plataforma Continental do Amazonas;3.135833;-48.449
70;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
71;SOUTH_AMERICA;BR;Pará;Curuçá;Curuça;;
72;SOUTH_AMERICA;BR;Maranhão;Alcântara;Rio Grande;-2.42375;-44.425444
73;SOUTH_AMERICA;BR;Maranhão;Rosário;Rosário;-2.853972;-44.153167
74;SOUTH_AMERICA;BR;Pará;Bragança;Ilha de Canela;;
75;SOUTH_AMERICA;BR;Maranhão;Caxias;Maranhão Federal Institute;-4.904167;-43.472222
76;SOUTH_AMERICA;BR;Maranhão;Itinga do Maranhão;Reserva Biológica Gurupi;-4.0428;-46.906058
77;SOUTH_AMERICA;BR;Maranhão;Caxias;Santa Tereza Village;-4.891111;-43.425833
78;SOUTH_AMERICA;BR;Maranhão;Caxias;Maranhão Federal Institute;-4.821667;-43.342222
79;SOUTH_AMERICA;BR;Maranhão;Caxias;Santa Tereza Village;-4.891111;-43.425833
80;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
81;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
82;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
83;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
84;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
85;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
86;SOUTH_AMERICA;BR;Pará;Bragança;Praia de Ajuruteua;;
87;SOUTH_AMERICA;BR;Maranhão;Caxias;Santa Tereza Village;-4.899722;-43.470833
88;SOUTH_AMERICA;BR;Maranhão;Caxias;Maranhão Federal Institute;-4.821111;-43.340833
89;SOUTH_AMERICA;BR;Pará;Bragança;Península Bragantina;;
90;SOUTH_AMERICA;BR;Maranhão;Caxias;Maranhão Federal Institute;-4.904167;-43.472222
91;SOUTH_AMERICA;BR;Maranhão;Itinga do Maranhão;Reserva Biológica Gurupi;-4.0428;-46.906058
92;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
93;SOUTH_AMERICA;BR;Pará;Bragança;Península Bragantina;;
94;SOUTH_AMERICA;BR;Maranhão;Caxias;Santa Tereza Village;-4.904167;-43.472222
95;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
96;SOUTH_AMERICA;BR;Pará;Bragança;Ilha de Canela;;
97;SOUTH_AMERICA;BR;Pará;Maracanã;Ilha de Algodoal;;
98;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
99;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
100;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
101;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
102;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
103;;BR;Pará;Belém;Mocambo;1.440694;-48.41125
104;SOUTH_AMERICA;BR;Maranhão;Caxias;Maranhão Federal Institute;-4.818611;-43.343056
105;SOUTH_AMERICA;BR;Pará;Bragança;Península Bragantina;;
106;SOUTH_AMERICA;BR;Pará;Maracanã;Ilha de Algodoal;;
