id;taxonRank;taxonomicStatus;publishingCountry;hasCoordinate;hasGeospatialIssues
0;GENUS;DOUBTFUL;BR;TRUE;TRUE
1;SPECIES;ACCEPTED;BR;TRUE;FALSE
2;SPECIES;ACCEPTED;BR;TRUE;FALSE
3;GENUS;DOUBTFUL;BR;TRUE;TRUE
4;GENUS;DOUBTFUL;BR;TRUE;TRUE
5;GENUS;ACCEPTED;BR;FALSE;FALSE
6;SPECIES;ACCEPTED;BR;TRUE;FALSE
7;SPECIES;ACCEPTED;BR;FALSE;FALSE
8;GENUS;DOUBTFUL;BR;TRUE;TRUE
9;GENUS;DOUBTFUL;BR;TRUE;TRUE
10;KINGDOM;;BR;TRUE;FALSE
11;GENUS;DOUBTFUL;BR;TRUE;TRUE
12;GENUS;DOUBTFUL;BR;TRUE;TRUE
13;SPECIES;ACCEPTED;BR;TRUE;FALSE
14;GENUS;DOUBTFUL;BR;TRUE;TRUE
15;GENUS;ACCEPTED;BR;FALSE;FALSE
16;SPECIES;ACCEPTED;BR;TRUE;FALSE
17;SPECIES;ACCEPTED;BR;TRUE;FALSE
18;SPECIES;ACCEPTED;BR;TRUE;FALSE
19;GENUS;DOUBTFUL;BR;TRUE;TRUE
20;SPECIES;ACCEPTED;BR;TRUE;FALSE
21;SPECIES;ACCEPTED;BR;FALSE;FALSE
22;GENUS;DOUBTFUL;BR;TRUE;TRUE
23;GENUS;ACCEPTED;BR;FALSE;FALSE
24;GENUS;ACCEPTED;BR;FALSE;FALSE
25;GENUS;DOUBTFUL;BR;TRUE;TRUE
26;SPECIES;ACCEPTED;BR;TRUE;FALSE
27;GENUS;DOUBTFUL;BR;TRUE;TRUE
28;GENUS;DOUBTFUL;BR;TRUE;TRUE
29;GENUS;DOUBTFUL;BR;TRUE;TRUE
30;SPECIES;ACCEPTED;BR;FALSE;FALSE
31;SPECIES;ACCEPTED;BR;FALSE;FALSE
32;GENUS;DOUBTFUL;BR;TRUE;TRUE
33;KINGDOM;;BR;TRUE;FALSE
34;GENUS;DOUBTFUL;BR;TRUE;TRUE
35;SPECIES;ACCEPTED;BR;TRUE;FALSE
36;GENUS;DOUBTFUL;BR;TRUE;TRUE
37;GENUS;DOUBTFUL;BR;TRUE;TRUE
38;SPECIES;ACCEPTED;BR;TRUE;FALSE
39;SPECIES;ACCEPTED;BR;TRUE;FALSE
40;GENUS;DOUBTFUL;BR;TRUE;TRUE
41;SPECIES;ACCEPTED;BR;TRUE;FALSE
42;SPECIES;ACCEPTED;BR;FALSE;FALSE
43;SPECIES;ACCEPTED;BR;FALSE;FALSE
