id;occurrenceID;catalogNumber;recordedBy;preparations;date;year;month;day;eventRemarks;higherGeography;continent;countryCode;stateProvince;county;locality;decimalLatitude;decimalLongitude;typeStatus;scientificName;kingdom;phylum;class;order;family;genus;genericName;specificEpithet;infraspecificEpithet;taxonRank;taxonomicStatus;publishingCountry;lastInterpreted;hasCoordinate;hasGeospatialIssues;taxonKey;acceptedTaxonKey;kingdomKey;phylumKey;classKey;orderKey;familyKey;genusKey;speciesKey;species;acceptedScientificName;verbatimScientificName;repatriated;level0Gid;level0Name;level1Gid;level1Name;level2Gid;level2Name;iucnRedListCategory
0;MPEG.ANL 001101;MPEG.ANL 001101;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 3;30/08/2017;2017;8;30;;Pará, Belém;;BR;Pará;Belém;Mocambo;1,440694;-48,41125;;Pontoscolex;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Pontoscolex;Pontoscolex;;;GENUS;DOUBTFUL;BR;2023-09-07T09:19:05.952Z;TRUE;TRUE;2308740;2308740;1;42;255;472;3567;2308740;;;Pontoscolex;Pontoscolex Corethrurus;FALSE;;;;;;;
1;MPEG.ANL 001596;MPEG.ANL 001596;"Sousa, Sandriel; Hernández, Luis; Rousseau, Guillaume";Etanol - 1;15/08/2018;2018;8;15;;Maranhão, São Luís;SOUTH_AMERICA;BR;Maranhão;São Luís;Fazenda Escola;-4,587222;-44,208611;;Liodrilus mendesi Righi, 1994;Animalia;Annelida;Clitellata;;;Liodrilus;Liodrilus;mendesi;;SPECIES;ACCEPTED;BR;2023-09-07T09:19:05.949Z;TRUE;FALSE;9512479;9512479;1;42;255;;;4813824;9512479;Liodrilus mendesi;Liodrilus mendesi Righi, 1994;Liodrilus mendesi;FALSE;BRA;Brazil;BRA.10_1;Maranhão;BRA.10.59_2;Codó;NE
2;MPEG.ANL 001635;MPEG.ANL 001635;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";Etanol - 1;12/02/2019;2019;2;12;;Maranhão, Caxias;SOUTH_AMERICA;BR;Maranhão;Caxias;Santa Tereza Village;-4,899722;-43,470833;;Liodrilus mendesi Righi, 1994;Animalia;Annelida;Clitellata;;;Liodrilus;Liodrilus;mendesi;;SPECIES;ACCEPTED;BR;2023-09-07T09:19:05.937Z;TRUE;FALSE;9512479;9512479;1;42;255;;;4813824;9512479;Liodrilus mendesi;Liodrilus mendesi Righi, 1994;Liodrilus mendesi;FALSE;BRA;Brazil;BRA.10_1;Maranhão;BRA.10.52_2;Caxias;NE
3;MPEG.ANL 001031;MPEG.ANL 001031;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 1;30/08/2017;2017;8;30;;Pará, Belém;;BR;Pará;Belém;Mocambo;1,440694;-48,41125;;Pontoscolex;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Pontoscolex;Pontoscolex;;;GENUS;DOUBTFUL;BR;2023-09-07T09:19:05.946Z;TRUE;TRUE;2308740;2308740;1;42;255;472;3567;2308740;;;Pontoscolex;Pontoscolex Corethrurus;FALSE;;;;;;;
4;MPEG.ANL 001036;MPEG.ANL 001036;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 17;30/08/2017;2017;8;30;;Pará, Belém;;BR;Pará;Belém;Mocambo;1,440694;-48,41125;;Pontoscolex;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Pontoscolex;Pontoscolex;;;GENUS;DOUBTFUL;BR;2023-09-07T09:19:05.946Z;TRUE;TRUE;2308740;2308740;1;42;255;472;3567;2308740;;;Pontoscolex;Pontoscolex Corethrurus;FALSE;;;;;;;
5;MPEG.ANL 000595;MPEG.ANL 000595;"Braga, Cesar; Ferreira, Viviane";Líquido - 2;01/11/2008;2008;11;1;Material doado Laboratório de Oceanografia Biológica/UFPA;Pará, Bragança;SOUTH_AMERICA;BR;Pará;Bragança;Ilha de Canela;;;;Heteromastus Eisig, 1887;Animalia;Annelida;Polychaeta;;Capitellidae;Heteromastus;Heteromastus;;;GENUS;ACCEPTED;BR;2023-09-07T09:19:05.943Z;FALSE;FALSE;7236626;7236626;1;42;256;;5752;7236626;;;Heteromastus Eisig, 1887;Heteromastus;FALSE;;;;;;;
6;MPEG.ANL 001568;MPEG.ANL 001568;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";Etanol - 1;15/04/2017;2017;4;15;;Maranhão, Rosário;SOUTH_AMERICA;BR;Maranhão;Rosário;Rosário;-2,853972;-44,153167;;Pontoscolex corethrurus (Muller, 1856);Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;SPECIES;ACCEPTED;BR;2023-09-07T09:19:05.953Z;TRUE;FALSE;2308741;2308741;1;42;255;5958860;9272891;10943108;2308741;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;FALSE;BRA;Brazil;BRA.10_1;Maranhão;BRA.10.159_2;Rosário;NE
7;MPEG.ANL 000622;MPEG.ANL 000622;"Braga, Cesar; Ferreira, Viviane";Líquido - 2;01/11/2008;2008;11;1;Material doado Laboratório de Oceanografia Biológica/UFPA;Pará, Bragança;SOUTH_AMERICA;BR;Pará;Bragança;Península Bragantina;;;;Laeonereis culveri (Webster, 1879);Animalia;Annelida;Polychaeta;Phyllodocida;Nereididae;Laeonereis;Laeonereis;culveri;;SPECIES;ACCEPTED;BR;2023-09-07T09:19:05.949Z;FALSE;FALSE;2316376;2316376;1;42;256;1079;6972;2316367;2316376;Laeonereis culveri;Laeonereis culveri (Webster, 1879);Laeonereis culveri;FALSE;;;;;;;NE
8;MPEG.ANL 001090;MPEG.ANL 001090;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 1;30/08/2017;2017;8;30;;Pará, Belém;;BR;Pará;Belém;Mocambo;1,440694;-48,41125;;Pontoscolex;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Pontoscolex;Pontoscolex;;;GENUS;DOUBTFUL;BR;2023-09-07T09:19:05.947Z;TRUE;TRUE;2308740;2308740;1;42;255;472;3567;2308740;;;Pontoscolex;Pontoscolex Corethrurus;FALSE;;;;;;;
9;MPEG.ANL 001083;MPEG.ANL 001083;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 3;30/08/2017;2017;8;30;;Pará, Belém;;BR;Pará;Belém;Mocambo;1,440694;-48,41125;;Pontoscolex;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Pontoscolex;Pontoscolex;;;GENUS;DOUBTFUL;BR;2023-09-07T09:19:05.945Z;TRUE;TRUE;2308740;2308740;1;42;255;472;3567;2308740;;;Pontoscolex;Pontoscolex Corethrurus;FALSE;;;;;;;
10;MPEG.ANL 001137;MPEG.ANL 001137;Muniz, Mairink;EtOH - 1;05/09/2016;2016;9;5;Amazôna Azul;Pará;;BR;Pará;;Plataforma Continental do Amazonas;3,7817;-49,840417;;incertae sedis;incertae sedis;;;;;;;;;KINGDOM;;BR;2023-09-07T09:19:05.936Z;TRUE;FALSE;0;;0;;;;;;;;;;FALSE;;;;;;;
11;MPEG.ANL 001045;MPEG.ANL 001045;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 3;30/08/2017;2017;8;30;;Pará, Belém;;BR;Pará;Belém;Mocambo;1,440694;-48,41125;;Pontoscolex;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Pontoscolex;Pontoscolex;;;GENUS;DOUBTFUL;BR;2023-09-07T09:19:05.946Z;TRUE;TRUE;2308740;2308740;1;42;255;472;3567;2308740;;;Pontoscolex;Pontoscolex Corethrurus;FALSE;;;;;;;
12;MPEG.ANL 001001;MPEG.ANL 001001;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 37;30/08/2017;2017;8;30;;Pará, Belém;;BR;Pará;Belém;Mocambo;1,440694;-48,41125;;Pontoscolex;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Pontoscolex;Pontoscolex;;;GENUS;DOUBTFUL;BR;2023-09-07T09:19:05.941Z;TRUE;TRUE;2308740;2308740;1;42;255;472;3567;2308740;;;Pontoscolex;Pontoscolex Corethrurus;FALSE;;;;;;;
13;MPEG.ANL 001595;MPEG.ANL 001595;"Sousa, Sandriel; Hernández, Luis; Rousseau, Guillaume";Etanol - 1;15/08/2018;2018;8;15;;Maranhão, São Luís;SOUTH_AMERICA;BR;Maranhão;São Luís;Fazenda Escola;-4,587222;-44,208611;;Liodrilus mendesi Righi, 1994;Animalia;Annelida;Clitellata;;;Liodrilus;Liodrilus;mendesi;;SPECIES;ACCEPTED;BR;2023-09-07T09:19:05.949Z;TRUE;FALSE;9512479;9512479;1;42;255;;;4813824;9512479;Liodrilus mendesi;Liodrilus mendesi Righi, 1994;Liodrilus mendesi;FALSE;BRA;Brazil;BRA.10_1;Maranhão;BRA.10.59_2;Codó;NE
14;MPEG.ANL 001056;MPEG.ANL 001056;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 1;30/08/2017;2017;8;30;;Pará, Belém;;BR;Pará;Belém;Mocambo;1,440694;-48,41125;;Pontoscolex;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Pontoscolex;Pontoscolex;;;GENUS;DOUBTFUL;BR;2023-09-07T09:19:05.945Z;TRUE;TRUE;2308740;2308740;1;42;255;472;3567;2308740;;;Pontoscolex;Pontoscolex Corethrurus;FALSE;;;;;;;
15;MPEG.ANL 000619;MPEG.ANL 000619;"Braga, Cesar; Ferreira, Viviane";Líquido - 3;01/11/2008;2008;11;1;Material doado Laboratório de Oceanografia Biológica/UFPA;Pará, Bragança;SOUTH_AMERICA;BR;Pará;Bragança;Ilha de Canela;;;;Neanthes Kinberg, 1865;Animalia;Annelida;Polychaeta;Phyllodocida;Nereididae;Neanthes;Neanthes;;;GENUS;ACCEPTED;BR;2023-09-07T09:19:05.948Z;FALSE;FALSE;2316247;2316247;1;42;256;1079;6972;2316247;;;Neanthes Kinberg, 1865;Neanthes;FALSE;;;;;;;
16;MPEG.ANL 001629;MPEG.ANL 001629;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";Etanol - 1;12/02/2019;2019;2;12;;Maranhão, Caxias;SOUTH_AMERICA;BR;Maranhão;Caxias;Santa Tereza Village;-4,558333;-43,470833;PARATYPE;Rhinodrilus antonioi Hernández-García & Sousa, 2020;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Rhinodrilus;Rhinodrilus;antonioi;;SPECIES;ACCEPTED;BR;2023-09-07T09:19:05.939Z;TRUE;FALSE;11003839;11003839;1;42;255;5958860;9272891;10944581;11003839;Rhinodrilus antonioi;Rhinodrilus antonioi Hernández-García & Sousa, 2020;Rhinodrilus antonionii;FALSE;BRA;Brazil;BRA.10_1;Maranhão;BRA.10.5_2;Aldeias Altas;NE
