id;catalogNumber;recordedBy;eventdate;higherGeography;eventRemarks;preparations
0;MPEG.ANL 001101;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 3
1;MPEG.ANL 001596;"Sousa, Sandriel; Hernández, Luis; Rousseau, Guillaume";15/08/2018;Maranhão, São Luís;;Etanol - 1
2;MPEG.ANL 001635;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";12/02/2019;Maranhão, Caxias;;Etanol - 1
3;MPEG.ANL 001031;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 1
4;MPEG.ANL 001036;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 17
5;MPEG.ANL 000595;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 2
6;MPEG.ANL 001568;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/04/2017;Maranhão, Rosário;;Etanol - 1
7;MPEG.ANL 000622;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 2
8;MPEG.ANL 001090;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 1
9;MPEG.ANL 001083;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 3
10;MPEG.ANL 001137;Muniz, Mairink;05/09/2016;Pará;Amazôna Azul;EtOH - 1
11;MPEG.ANL 001045;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 3
12;MPEG.ANL 001001;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 37
13;MPEG.ANL 001595;"Sousa, Sandriel; Hernández, Luis; Rousseau, Guillaume";15/08/2018;Maranhão, São Luís;;Etanol - 1
14;MPEG.ANL 001056;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 1
15;MPEG.ANL 000619;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 3
16;MPEG.ANL 001629;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";12/02/2019;Maranhão, Caxias;;Etanol - 1
17;MPEG.ANL 001593;"Sousa, Sandriel; Hernández, Luis; Rousseau, Guillaume";15/08/2018;Maranhão, São Luís;;Etanol - 1
18;MPEG.ANL 001569;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/04/2017;Maranhão, Rosário;;Etanol - 1
19;MPEG.ANL 001009;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 3
20;MPEG.ANL 001609;"Sousa, Sandriel; Hernández, Luis; Rousseau, Guillaume";15/08/2018;Maranhão, São Luís;;Etanol - 1
21;MPEG.ANL 000724;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 1
22;MPEG.ANL 001034;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 1
23;MPEG.ANL 000603;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 2
24;MPEG.ANL 000628;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 1
25;MPEG.ANL 001104;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 4
26;MPEG.ANL 001567;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/04/2017;Maranhão, Alcântara;;Etanol - 1
27;MPEG.ANL 001005;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 4
28;MPEG.ANL 001097;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 4
29;MPEG.ANL 001113;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 1
30;MPEG.ANL 000713;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 11
31;MPEG.ANL 000624;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Maracanã;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 1
32;MPEG.ANL 001114;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 10
33;MPEG.ANL 001140;Romão, João;06/12/2015;Pará;Amazôna Azul;EtOH - 1
34;MPEG.ANL 001078;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 4
35;MPEG.ANL 001644;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";12/02/2019;Maranhão, Caxias;;Etanol - 1
36;MPEG.ANL 001061;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 2
37;MPEG.ANL 001093;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 2
38;MPEG.ANL 001561;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";04/06/2017;Maranhão, São Luís;;Etanol - 1
39;MPEG.ANL 001562;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/07/2011;Maranhão, Tomé-Açu;;Etanol - 1
40;MPEG.ANL 001059;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 22
41;MPEG.ANL 001597;"Sousa, Sandriel; Hernández, Luis; Rousseau, Guillaume";15/08/2018;Maranhão, São Luís;;Etanol - 1
42;MPEG.ANL 000650;"Silva, Roseanne; Rosa Filho, José";01/01/2005;Pará, Curuçá;"Material doado Laboratório de Oceanografia Biológica/UFPA; Projeto RECOS – Instituto do Milênio";Líquido - 1
43;MPEG.ANL 000623;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Maracanã;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 1
44;MPEG.ANL 001110;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 3
45;MPEG.ANL 000648;"Silva, Roseanne; Rosa Filho, José";01/01/2005;Pará, Curuçá;"Material doado Laboratório de Oceanografia Biológica/UFPA; Projeto RECOS – Instituto do Milênio";Líquido - 1
46;MPEG.ANL 001012;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 1
47;MPEG.ANL 001050;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 1
48;MPEG.ANL 001054;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 3
49;MPEG.ANL 001109;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 7
50;MPEG.ANL 001611;"Sousa, Sandriel; Hernández, Luis; Rousseau, Guillaume";15/08/2018;Maranhão, São Luís;;Etanol - 1
51;MPEG.ANL 001652;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";12/02/2019;Maranhão, Caxias;;Etanol - 12
52;MPEG.ANL 001649;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";12/02/2019;Maranhão, Caxias;;Etanol - 4
53;MPEG.ANL 001605;"Sousa, Sandriel; Hernández, Luis; Rousseau, Guillaume";15/08/2018;Maranhão, São Luís;;Etanol - 1
54;MPEG.ANL 001021;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 2
55;MPEG.ANL 001084;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 4
56;MPEG.ANL 000717;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Marapanim;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 5
57;MPEG.ANL 000599;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 3
58;MPEG.ANL 001107;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 1
59;MPEG.ANL 001647;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";12/02/2019;Maranhão, Caxias;;Etanol - 5
60;MPEG.ANL 001051;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 1
61;MPEG.ANL 001088;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 1
62;MPEG.ANL 001570;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/04/2017;Maranhão, Rosário;;Etanol - 1
63;MPEG.ANL 001065;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 1
64;MPEG.ANL 000719;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 2
65;MPEG.ANL 000594;"Braga, Cesar; Ferreira, Viviane";01/04/2009;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 14
66;MPEG.ANL 000714;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Marapanim;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 1
67;MPEG.ANL 001053;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 4
68;MPEG.ANL 000702;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 2
69;MPEG.ANL 001135;Muniz, Mairink;25/06/2016;Pará;Amazôna Azul;EtOH - 1
70;MPEG.ANL 001085;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 5
71;MPEG.ANL 000651;"Silva, Roseanne; Rosa Filho, José";01/01/2005;Pará, Curuçá;"Material doado Laboratório de Oceanografia Biológica/UFPA; Projeto RECOS – Instituto do Milênio";Líquido - 1
72;MPEG.ANL 001566;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/04/2017;Maranhão, Alcântara;;Etanol - 1
73;MPEG.ANL 001571;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/04/2017;Maranhão, Rosário;;Etanol - 1
74;MPEG.ANL 000725;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 3
75;MPEG.ANL 001661;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";12/02/2019;Maranhão, Caxias;;Etanol - 2
76;MPEG.ANL 001615;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/04/2017;Maranhão, Itinga do Maranhão;;Etanol - 1
77;MPEG.ANL 001637;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";12/02/2019;Maranhão, Caxias;;Etanol - 1
78;MPEG.ANL 001651;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";12/02/2019;Maranhão, Caxias;;Etanol - 2
79;MPEG.ANL 001624;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";12/02/2019;Maranhão, Caxias;;Etanol - 6
80;MPEG.ANL 001092;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 6
81;MPEG.ANL 001004;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 5
82;MPEG.ANL 001008;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 1
83;MPEG.ANL 001116;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 2
84;MPEG.ANL 001074;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 3
85;MPEG.ANL 001094;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 1
86;MPEG.ANL 000723;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Bragança;"Material doado Laboratório de Oceanografia Biológica/UFPA; Projeto RECOS – Instituto do Milênio";Líquido - 1
87;MPEG.ANL 001622;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";12/02/2019;Maranhão, Caxias;;Etanol - 1
88;MPEG.ANL 001653;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";12/02/2019;Maranhão, Caxias;;Etanol - 7
89;MPEG.ANL 000607;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 1
90;MPEG.ANL 001630;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";12/02/2019;Maranhão, Caxias;;Etanol - 3
91;MPEG.ANL 001617;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/04/2017;Maranhão, Itinga do Maranhão;;Etanol - 1
92;MPEG.ANL 001133;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 1
93;MPEG.ANL 000616;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 3
94;MPEG.ANL 001655;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";12/02/2019;Maranhão, Caxias;;Etanol - 2
95;MPEG.ANL 001115;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 2
96;MPEG.ANL 000618;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 6
97;MPEG.ANL 000706;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Maracanã;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 1
98;MPEG.ANL 001030;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 4
99;MPEG.ANL 001049;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 1
100;MPEG.ANL 001022;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 2
101;MPEG.ANL 001043;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 6
102;MPEG.ANL 001035;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 11
103;MPEG.ANL 001112;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 3
104;MPEG.ANL 001654;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";12/02/2019;Maranhão, Caxias;;Etanol - 3
105;MPEG.ANL 000600;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 4
106;MPEG.ANL 000589;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Maracanã;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 27
107;MPEG.ANL 001631;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";12/02/2019;Maranhão, Caxias;;Etanol - 2
108;MPEG.ANL 001623;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";12/02/2019;Maranhão, Caxias;;Etanol - 1
109;MPEG.ANL 000625;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 1
110;MPEG.ANL 001033;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 1
111;MPEG.ANL 000588;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 100
112;MPEG.ANL 000617;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Maracanã;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 1
113;MPEG.ANL 001557;Cardoso, E.;01/02/2018;Ceará, Jijoca de Jericoacoara;Recifes Arenosos;
114;MPEG.ANL 001563;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/07/2011;Maranhão, Tomé-Açu;;Etanol - 1
115;MPEG.ANL 001640;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";12/02/2019;Maranhão, Caxias;;Etanol - 1
116;MPEG.ANL 001556;"Santos, C.R.M; Amado, L.L.";10/01/2012;Paraná, Pontal do Paraná;;EtOH
117;MPEG.ANL 000608;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 2
118;MPEG.ANL 001589;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/04/2017;Maranhão, Bom Jesus;;Etanol - 1
119;MPEG.ANL 001015;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 14
120;MPEG.ANL 001042;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 24
121;MPEG.ANL 001102;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 1
122;MPEG.ANL 001010;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 1
123;MPEG.ANL 001103;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 1
124;MPEG.ANL 001032;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 6
125;MPEG.ANL 000630;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Maracanã;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 1
